	지점명	아파트명	주소	준공년월	세대
131	스타벅스 여주DT점	여주점봉부영아파트	경기 여주시 세종로 394-10	2000.10	810
132	스타벅스 천안IC DT점	도솔노블시티동문굿모닝힐아파트	충남 천안시 동남구 신부8길 21	2018.05	2144
133	스타벅스 인천용현DT점	용현대림아파트	인천 미추홀구 낙섬중로 18	1990.10	598
134	스타벅스 의정부예술의전당DT점	의정부롯데캐슬골드파크2단지아파트	경기 의정부시 범골로63번길 31 의정부 롯데캐슬 골드파크 2단지	2018.11	931
135	스타벅스 김포풍무DT점	김포풍무꿈에그린유로메트로1단지아파트	경기 김포시 풍무로68번길 39	2014.05	965
136	스타벅스 전북대병원DT점	금암동중앙하이츠아파트	전북 전주시 덕진구 거북바우3길 15	2007.07	602
137	스타벅스 울산시청사거리DT점	삼환아르누보아파트	울산 남구 삼산로 87	2009.04	127
138	스타벅스 동탄능동DT점	동탄숲속마을능동역리체더포레스트	경기 화성시 동탄숲속로 19	2008.01	562
139	스타벅스 광주신세계DT점	화정동삼익맨션1차아파트	광주 서구 죽봉대로 31	1979.07	276
140	스타벅스 인천동춘DT점	인천연수서해그랑블1단지아파트	인천 연수구 동춘동	2017.11	1043
141	스타벅스 여수둔덕DT점	한려아파트	전남 여수시 쌍봉로 316	1997.05	1026
142	스타벅스 동수원DT점	동수원월드메르디앙아파트	경기 수원시 팔달구 권광로 373	2004.06	2063
143	스타벅스 광주흑석DT점	영천마을주공9단지아파트	광주 광산구 풍영로 63	2003.05	1262
144	스타벅스 울산호계DT점	쌍용아진그린타운2차아파트	울산 북구 아진로 75	1996.08	912
145	스타벅스 수원경수인계DT점	해피포트아파트	경기 수원시 팔달구 경수대로519번길 12-13	2004.01	19
146	스타벅스 대구상동DT점	수성동일하이빌레이크시티아파트	대구 수성구 수성로 71	2009.04	1411
147	스타벅스 이천사음DT점	이천현진에버빌2차아파트	경기 이천시 경충대로2996번길 16	2006.04	137
148	스타벅스 평내DT점	평내마을어울림아파트	경기 남양주시 경춘로1256번길 24	2005.11	924
149	스타벅스 마산역DT점	동도센트리움아파트	경남 창원시 마산회원구 양덕옛2길 129	2013.02	170
150	스타벅스 일산풍동DT점	숲속마을두산위브2단지아파트	경기 고양시 일산동구 숲속마을1로 55	2006.07	888
151	스타벅스 광주용두DT점	광주첨단2지구제일풍경채리버파크아파트	광주 북구 첨단연신로 216	2014.05	613
152	스타벅스 금정구청DT점	경남한신아파트	부산 금정구 중앙대로1685번길 24	1995.03	1408
153	스타벅스 부평삼거리역DT점	십정뜨란채주공1단지아파트	인천 부평구 이규보로 79	2005.07	920
154	스타벅스 수원인계DT점	매탄위브하늘채아파트	경기 수원시 영통구 효원로 363	2008.05	3391
155	스타벅스 천안불당DT점	불당호반베르디움더퍼스트	충남 천안시 서북구 불당19로 200	2016.10	1096
156	스타벅스 마산해안대로DT점	마린파이브	경남 창원시 마산합포구 오동동14길 67	2014.07	536
157	스타벅스 신영통DT점	신영통현대1단지아파트	경기 화성시 영통로61번길 10	2001.10	896
158	스타벅스 대구도원DT점	도원서한이다음레이크뷰아파트	대구 달서구 상화로58길 35	2015.01	633
159	스타벅스 강릉송정DT점	포남동주공1차아파트	강원 강릉시 보래미상길 65	1981.10	640
160	스타벅스 낙성대DT점	동아타운아파트	서울 관악구 봉천로 576	1999.10	121
161	스타벅스 김해구산DT점	한일유엔아이아파트	경남 김해시 구산로5번길 89	2004.06	1308
