	loc_name	address	num_review	latitude	longitude
100	우도 산호해변(서빈백사)	제주특별자치도 제주시 우도면 우도해안길	32614	33.5074342	126.954269
101	학암포해수욕장	충청남도 태안군 원북면 방갈리	76343	36.8948887	126.2247896
102	어은돌해수욕장	충청남도 태안군 소원면 연들길 92	36087	36.7526737	126.131321
103	바람아래해수욕장	충청남도 태안군 고남면 장곡리	52145	36.4309938	126.3780996
104	샛별해수욕장	충청남도 태안군 안면읍 샛별길 184-2	35168	36.4485113	126.3360975
105	죽림해수욕장	경상남도 거제시 거제면 오수리	35274	34.8390695	128.5954898
106	구영해수욕장	경남 거제시 장목면 거제북로	34204	35.0069943	128.6887229
107	상주은모래비치	경상남도 남해군 상주면 상주로 10-3	105972	34.7223934	127.987506
108	보성율포해수풀장	전라남도 보성군 회천면 우암길 8	71874	34.6701945	127.0872085
109	송정 솔바람해변	경상남도 남해군 미조면 미송로483번길 4-69	57081	34.7221961	128.0238472
110	흥남해수욕장	경상남도 거제시 장목면 흥남길	35755	34.9593472	128.7138305
111	풍류해수욕장	전남 고흥군 두원면 풍류리	29922	34.666488	127.235277
112	송평해변	전라남도 해남군 화산면 평호길 450	27156	34.4355072	126.4716333
113	안도해변	전라남도 여수시 남면 안도해수욕장길 105	40940	34.4904646	127.8125517
114	남일대해수욕장	경상남도 사천시 남일대길	59898	34.9280474	128.0980092
115	명사해수욕장	경상남도 거제시 남부면 명사해수욕장길	45574	34.7276618	128.6048804
116	방죽포해변	전라남도 여수시 돌산읍 향일암로 804-6	49059	34.6308684	127.7924935
117	밧개해수욕장	충청남도 태안군 안면읍 승언리	33612	36.5144302	126.3529178
118	와현모래숲해변	경상남도 거제시 일운면 와현해변길	47057	34.8134207	128.7059696
119	백사장해수욕장	충청남도 태안군 안면읍 창기리	43702	36.5817116	126.3390389
120	동호해수욕장	전라북도 고창군 해리면 동호리	64724	35.5090529	126.4889245
121	여차해변 (여차몽돌해수욕장)	경상남도 거제시 남부면 여차길	42349	34.714655	128.6273375
122	기지포해수욕장	충청남도 태안군 안면읍 해안관광로 745-19	42398	36.5631723	126.3237007
123	농소몽돌해변	경상남도 거제시 장목면 거제북로	37899	35.0069943	128.6887229
124	장등해변	전라남도 여수시 화양면 장수리	30972	34.6558924	127.585786
125	황포해수욕장	경상남도 거제시 장목면 황포1길	31188	35.0267705	128.6775098
126	두곡, 월포해수욕장	경상남도 남해군 남면 남면로111번길 77	38359	34.7646753	127.9035653
127	가마미해수욕장	전라남도 영광군 홍농읍 가마미로 355	56445	35.3982456	126.4091011
128	덕동해수욕장	경상남도 통영시 욕지면 덕동길 39	33457	34.63549770000001	128.2376272
129	남해 가천 해변과 암수바위	경상남도 남해군 남면 남면로679번길	27208	34.7275794	127.8944558
130	구시포해수욕장	전라북도 고창군 상하면 자룡리	92903	35.4403206	126.441601
131	사촌해수욕장	경상남도 남해군 남면 남면로1229번길 44	27370	34.7434097	127.8561239
132	돌머리해변	전라남도 함평군 함평읍 주포로 614	61866	35.0865709	126.4419235
133	통영공설해수욕장	경상남도 통영시 산양읍 삼칭이해안길	49458	34.8140925	128.4389336
134	덕포해수욕장	경상남도 거제시 덕포5길	42443	34.9125924	128.7119375
135	안면해수욕장	충청남도 태안군 안면읍 정당리	36114	36.5508737	126.3576326
136	봉암해수욕장	경상남도 통영시 한산면 봉암2길 46-42	43887	34.759132	128.5109506
137	설리 해수욕장	경상남도 남해군 미조면 미송로303번길 70	62128	34.7055783	128.0255421
138	수문해수욕장	전라남도 장흥군 안양면 수문용곡로 194	43099	34.6356346	127.0355321
139	신두리해수욕장	충청남도 태안군 원북면 신두리	93163	36.8342278	126.2026206
140	송호해수욕장	전라남도 해남군 송지면 땅끝해안로 1827	48085	34.306393	126.523026
141	예송해수욕장	전라남도 완도군 보길면 예송리	34793	34.1386422	126.5521925
142	항도몽돌해수욕장과 항도방파제	경상남도 남해군 미조면 송정리	39639	34.7430185	128.032001
143	자은 백길해수욕장	전라남도 신안군 자은면 자은서부1길 163-119	24756	34.8497303	126.0401208
144	암태 추포해수욕장	전라남도 신안군 암태면 추엽길 58-59	29794	34.8080944	126.0653884
145	모상개해수욕장	경상남도 남해군 창선면 진동리	31499	34.8471364	128.0532286
146	금일명사십리해수욕장	전라남도 완도군 금일읍 금일로 886	47414	34.3418701	127.0407963
147	중리해수욕장	전라남도 완도군 보길면 중통리	34751	34.1636817	126.5810706
148	신도해변	전라남도 신안군 하의면 신도길 163	27271	34.5881364	125.9749976
149	꾸지나무골해수욕장	충청남도 태안군 이원면 내리	24784	36.9520615	126.2947774
150	비진도해수욕장	경상남도 통영시 한산면 비진리	72117	34.7104474	128.4586113
151	덕흥해수욕장	전라남도 고흥군 동일면 덕흥양쪽길 118	31008	34.5289413	127.4584949
152	발포해수욕장	전라남도 고흥군 도화면 천마로 2743	35464	34.4925254	127.3569696
153	만성리 검은모래해변	전라남도 여수시 만성리길 15-1	61620	34.7758476	127.7446357
154	모항해수욕장	전라북도 부안군 변산면 모항길 23-1	59136	35.5831428	126.5083087
155	홀통유원지·홀통해변	전라남도 무안군 현경면 오류리	31467	35.056585	126.3577358
156	자은 분계해수욕장	전라남도 신안군 자은면 자은서부2길 669	21771	34.8720376	125.9822322
157	비금 원평/하누넘해수욕장	전라남도 신안군 비금면 하누넘해수욕장길 246	29158	34.7506912	125.8968884
158	남열해돋이해수욕장	전라남도 고흥군 고흥읍 고흥군청로 1	46605	34.611201	127.2850462
159	왜목해수욕장	충청남도 당진시 석문면 왜목길 26	9175	37.0444351	126.5260959
160	우이도 돈목해수욕장	전라남도 신안군 도초면 돈목길 33-1	25924	34.6015839	125.8242413
161	경주 버드파크	경상북도 경주시 보문로 74-14	11503	35.8498964	129.2627772
162	도초 시목해수욕장	전라남도 신안군 도초면 시목길 219-30	25847	34.673278	125.9510914
163	고사포해수욕장	전라북도 부안군 변산면 노루목길 8-8	50035	35.6638923	126.5104403
164	대전해수욕장	전라남도 고흥군 두원면 두원로 1306-30	28762	34.7135142	127.2724993
165	익금해수욕장	전라남도 고흥군 금산면 익금해변길 32	32727	34.4302878	127.1461337
166	나로우주해수욕장	전라남도 고흥군 봉래면 신금길 30-23	42620	34.4675893	127.4686107
167	수선사	경상남도 산청군 산청읍 웅석봉로154번길 102-23	0	35.39926310000001	127.8704723
168	모사금해수욕장	전라남도 여수시 오천동	36819	34.7960528	127.7391026
169	띠밭넘어해변	전라남도 신안군 도초면 우이도리	25245	34.6102599	125.8421653
170	신전해변	전라남도 진도군 조도면 조도대로 115-19	22940	34.3090827	126.0494976
171	편백산림욕장	울산광역시 북구 달천동	0	35.6324166	129.3043718
172	조천연꽃공원	세종특별자치시 조치원읍	0	36.6042964	127.2985208
173	신흥해수욕장	전라남도 완도군 청산면 청산로672번길 4	26200	34.1836031	126.9070069
174	신지명사십리해수욕장	전라남도 완도군 신지면	106609	34.3347526	126.82724
175	북촌리 4.3길	제주특별자치도 제주시 조천읍 북촌3길 3	0	33.5459875	126.6887641
176	완도 정도리 구계등	전라남도 완도군 완도읍 구계등길 47-1	33718	34.2983518	126.7092079
177	고살리 숲길	제주특별자치도 서귀포시 남원읍	0	33.2799141	126.7207056
178	금곡해수욕장	전라남도 완도군 생일면 생일로 1228	3554	34.3122886	126.962651
179	휴림	제주특별자치도 제주시 애월읍 광령남서길 40	0	33.443436	126.4289921
180	가사해수욕장	전라남도 완도군 약산면 가사길	2285	34.3936302	126.8981937
181	선유도해수욕장 (명사십리 해수욕장)	전라북도 군산시 옥도면	8950	35.6709622	126.4965411
182	중광정해변	강원도 양양군 현북면 하조대해안길 119	668	38.0229452	128.723896
183	동검도(나들길,캠핑,예술극장)	인천광역시 강화군 길상면 동검길63번길 60	0	37.5926635	126.5183517
184	보길도 뾰쪽산과 보옥리 공룡알해변	전남 완도군 보길면 보옥리	28486	34.1543815	126.5406825
185	정암해변	강원도 양양군 강현면 정암리	761	38.1417006	128.6074802
186	잔교해변	강원도 양양군 현북면 쟁기동길 78-1	530	38.0000925	128.7252592
187	외달도 해수욕장	전라남도 목포시 외달도길 47-17	5321	34.7806128	126.2940525
188	인구해변	강원도 양양군 현남면 인구항길 12	453	37.9702347	128.7618788
189	원포해변	강원도 양양군 손양면 학포길 33	462	38.0861088	128.6603825
190	위도해수욕장	전라북도 부안군 위도면 위도로 366	28259	35.6054565	126.2850191
191	물치해변	강원도 양양군 강현면 동해대로 3580	437	38.1556571	128.6099938
192	광진해변	강원도 양양군 현남면 광진리	685	37.9566959	128.7669653
193	갯마을해변	강원도 양양군 현남면 안남애길 48	1130	37.9448392	128.7854593
194	서울함공원	서울특별시 마포구 마포나루길 407	0	37.5546098	126.8957099
195	지경리해변	강원도 양양군 현남면 동해대로 62	32772	37.9199614	128.8040613
196	38해변	강원도 양양군 현북면 기사문길 29	487	38.00778529999999	128.7300437
197	감추해변	강원도 동해시 해안로 120	773	37.5146823	129.1265137
198	고불개해변	강원도 동해시 한섬해안길 104	1407	37.527681	129.1217391
199	캔싱턴해변	강원도 고성군 토성면 동해대로 4800	783	38.2432185	128.5723665
200	자작도해변	강원도 고성군 죽왕면 문암진리	523	38.3027743	128.5421096
201	한섬해변	강원도 동해시 한섬해안길 9	700	37.52108399999999	129.121603
